,employer name,case_count,state,city,address
0, INCANDESCENT TECHNOLOGIES INC ,7,New York,New York,"One World Trade Ctr, 83e, New York, New York 10007"
1,1 LESZEK CONSTRUCTION INC ,1,Illinois,Palos Park,"11010 W 131st St, Palos Park, Illinois 60464"
2,1 OCEAN YACHTS ,2,FL,Miami Beach,"520 West Avenue Suite B, Miami Beach, FL 33139"
3,11 W 32 INC ,1,New York,New York,"11 W 32nd St 3rd Floor, New York, New York 10001"
4,110 WATER STREET SERIES 274 LLC ,1,MD,Baltimore,"110 Water St, Baltimore, MD 21202"
5,111 CAPITAL INC ,1,CA,Torrance,"1405 Sartori Ave Ste 5, Torrance, CA 90501"
6,111 CAPITALINC ,1,CA,Torrance,"1820 W Carson St Ste 204, Torrance, CA 90501"
7,111 GREAT NAIL INC ,1,Connecticut,Stamford,"111 High Ridge Rd, Stamford, Connecticut 06905"
8,113O BLDCLLC ,2,TX,Mcallen,"4037 W Expressway 83, Mcallen, TX 78503"
9,1188 FLATBUSH MEAT AND PRODUCE INC ,1,New York,Brooklyn,"1188 Flatbush Avenue, Brooklyn, NY 11226"
10,11O GRILL LS HOPKINTON LLC ,1,MA,Hopkinton,"4 Lan Drive, Westford, MA 01886"
11,125 127 MAIN ST CORP ,1,NY,Greenport,"74100 W Front St, NA, Greenport, NY 11944"
12,128 TECHNOLOGY INC ,1,MA,Burlington,"200 Wheeler Rd, 6th Floor, Burlington, MA 01803"
13,128 TECHNOLOGYINC ,1,MA,Burlington,"200 Summit Dr, Ste 600, Burlington, MA 01803"
14,12TH MAN TECHNOLOGIES INC ,1,CA,Garden Grove,"7245 Garden Grove Blvd, Garden Grove, CA 92841"
15,12TH WONDER LLC ,5,CA,Dublin,"6500 Dublin Blvd Ste 216, Dublin, CA 94568"
16,1317 FLEET FUEL INC ,1,New York,Bronx,"1317 Oakpoint Ave, Bronx, New York 10474"
17,14 W ADMINISTRATIVE SERVICES LLC ,1,MD,Baltimore,"14 W Mt Vernon Place, Baltimore, MD 21201"
18,1488 EXPRESS INC ,1,Texas,Conroe,"515 Fm 1488 Road, Conroe, TX 77384"
19,153 GLOBAL INC ,1,CA,Gardena,"15601 New Century Dr, Gardena, CA 90248"
20,1592 FLATBUSH CORP ,2,NY,Brooklyn,"1592 Flatbush Ave, Brooklyn, NY 11225"
21,164O PHO CHAU INC ,2,TX,Dallas,"1640 W Mockingbird Lane, Dallas, TX 75235"
22,1661 INC ,1,California,Los Angeles,"D/b/a Goat, 3960 Landmark St, Culver City, California 90232"
23,17O NORTHEND CORP ,1,Massachusetts,Boston,"170 Salem Street, Boston, Massachusetts 02113"
24,18 BEECHWOOD CORP ,1,New Jersey,Jersey City,"18 Park Ave, Jersey City, New Jersey 07302"
25,18 KT JEWERLY INC ,1,Florida,Miami,"8522 Sw 40th St, Miami, Florida 33155"
26,18OOFLOWERSCOM INC ,1,New York,Carle Place,"1 Old Country Rd, Carle Place, NY 11514"
27,1O1ODATA SERVICES LLC ,5,NY,New York,"750 Third Ave, New York, NY 10017"
28,1O1ODATA SERVICES LLC ,5,New York,New York,"750 Third Ave, New York, NY 10017"
29,1O5O HEMPSTEAD TPKE INC ,1,New York,Franklin Square,"1050 Hempstead Tpke, Franklin Square, New York 11010"
30,1OX GENOMICS INC ,1,CA,Pleasanton,"7068 Koll Ctr Pkwy, Ste 401, Pleasanton, CA 94566"
31,1OX GENOMICSINC ,1,CA,Pleasanton,"7068 Koll Ctr Parkway, Ste 401, Pleasanton, CA 94566"
32,1ST CLASSIC DENTAL LLC ,1,Arizona,Sun City,"13203 N 103rd Ave Ste G1, Sun City, Arizona 85351"
33,1ST FAMILY DENTAL PC ,1,IL,Chicago,"4901 N Kedzie Ave, Chicago, IL 60625"
34,1ST SPRING SUPERMARKET LLC ,1,FL,Orlando,"10681 E Colonial Dr, Orlando, FL 32817"
35,1ST STYLEQUEEN INC ,1,CA,Los Angeles,"1163 E 12th St, Los Angeles, CA 90021"
36,1STDIBSCOM INC ,1,NY,New York,"156 Fifth Ave, Ste 200, New York, NY 10010"
37,1WAYSOLUTIONS INC ,1,GA,Marietta,"2129 Powers Ferry Rd E, Marietta, GA 30067"
38,1WORLDSYNC ,1,Illinois,Chicago,"300 Charles Ewing Boulevard, 1worldsync, Ewing, New Jersey 08628"
39,2 F INC ,1,TX,Irving,"949 W Royal Ln Ste 115, Irving, TX 75039"
40,2 MARKET MEDIA LLC ,1,New York,New York,"1115 Broadway 11th Fl, New York, New York 10010"
41,20TH CENTURY FOX HOME ENTERTAINMENT ,3,CA,Los Angeles,"2121 Ave Of The Stars, Ste 460, Los Angeles, CA 90067"
42,212 CONSULTING CORP ,1,New York,New York,"50 Broad St, New York, NY 10004"
43,212 LAFAYETTE ASSOC LLC ,1,New York,New York,"212 Lafayette St, New York, NY 10012"
44,21O5 RESTAURANT LLC ,1,Georgia,Athens,"1125 Price Avenue, Athens, Georgia 30606"
45,21ST CENTURY ONCOLOGY LLC ,1,FL,Fort Meyers,"2270 Colonial Blvd, Fort Myers, FL 33907"
46,21ST CENTURY ONCOLOGY SERVICESINC ,1,FL,Fort Meyers,"2234 Colonial Blvd, Fort Myers, FL 33907"
47,223 CAFE AND BAKE LLC ,1,NJ,Raritan,"233 West End Avenue, Raritan, NJ 08869"
48,22O7 WEST 11TH ST INC ,1,Ohio,Cleveland,"2207 W 11th St, Cleveland, Ohio 44113"
49,231O BROAD STREET LLC ,1,Pennsylvania,Philadelphia,"2310 N Broad St Spc A, Philadelphia, PA 19132"
50,233 FRANKLIN ST REALTY CORP ,1,New York,Long Island City,"21-25 44th Avenue, Long Island City, NY 11101"
51,23ANDME INC ,1,CA,Mountain View,"1390 Shorebird Way, Mountain View, CA 94043"
52,24 5TH AVENUE LLC ,1,NY,New York,"24 5th Ave, New York, NY 10011"
